name,n_runs,mean_g80,median_g80,std_g80,min_g80,max_g80
baseline,30,14.7667,12.5000,12.4032,3,67
cmaes_baseline,30,26.5333,28.0000,12.5416,5,52
cpg_baseline,30,13.5667,8.0000,14.2869,0,68
cpg_hill,30,24.6000,17.5000,21.4791,0,69
cpg_mixed,30,20.2000,18.5000,13.1080,0,51
cpgnn_2x_budget,30,52.2333,43.0000,47.6421,1,187
cpgnn_flat,30,10.7333,4.5000,13.3828,0,47
cpgnn_frozen,30,14.4667,8.5000,17.7933,0,71
cpgnn_high_mutation,30,17.4000,9.0000,18.7573,0,67
cpgnn_mixed,30,16.4667,10.5000,18.0014,0,60
cpgnn_random_init,30,17.6000,14.5000,11.5925,0,49
crossover_high,30,15.7000,13.0000,8.8128,4,42
de_baseline,30,18.7667,16.5000,13.2110,0,53
mutation_high,30,17.6000,14.5000,10.8552,3,43
pso_baseline,30,18.8333,13.5000,16.4654,2,66
random_search,30,16.6333,13.5000,16.2172,0,66
rank_selection,30,22.7333,22.0000,13.1226,1,53
roulette_selection,30,20.4333,16.5000,15.2828,3,69
