name,baseline_mean,variant_mean,diff,p_value,significance,cohens_d,effect_label,rank_biserial_r
cpgnn_2x_budget,746.7760,1190.9979,444.2219,0.0000,***,2.5991,large,0.9467
cpgnn_frozen,746.7760,1024.2051,277.4291,0.0000,***,1.7705,large,0.8400
cpgnn_flat,746.7760,948.7878,202.0118,0.0000,***,1.6787,large,0.8267
cpgnn_high_mutation,746.7760,992.5121,245.7361,0.0000,***,1.5807,large,0.8000
cpg_baseline,746.7760,889.3131,142.5371,0.0000,***,1.1423,large,0.6844
random_search,746.7760,613.7649,-133.0111,0.0000,***,-1.2064,large,-0.6378
cpg_hill,746.7760,595.0309,-151.7451,0.0003,***,-0.9746,large,-0.5467
mutation_high,746.7760,817.0013,70.2253,0.0071,**,0.5937,medium,0.4044
cmaes_baseline,746.7760,809.4130,62.6371,0.0110,*,0.5184,medium,0.3822
cpgnn_random_init,746.7760,889.2393,142.4633,0.0287,*,0.6648,medium,0.3289
de_baseline,746.7760,684.7834,-61.9926,0.0399,*,-0.5211,medium,-0.3089
crossover_high,746.7760,796.2368,49.4608,0.0459,*,0.3935,small,0.3000
roulette_selection,746.7760,789.6147,42.8388,0.0546,ns,0.3539,small,0.2889
cpgnn_mixed,746.7760,701.2512,-45.5248,0.1646,ns,-0.3424,small,-0.2089
rank_selection,746.7760,782.9603,36.1843,0.1738,ns,0.2788,small,0.2044
pso_baseline,746.7760,772.4989,25.7230,0.2871,ns,0.1996,negligible,0.1600
cpg_mixed,746.7760,719.1795,-27.5965,0.3147,ns,-0.2560,small,-0.1511
